tav,title,page,hotspots,low_conf,tav_missing,title_missing,action
30101,RISCALDAMENTO E VENTILAZIONE,pages/p082.png,21,0,0,0,spot-check only
44316,,pages/p083.png,19,0,0,1,type title from header
90103,COMANDI RISCALDAMENTO E VENTILAZIONE,pages/p086.png,15,0,0,0,spot-check only
90107,LAVACRISTALLO,pages/p088.png,3,0,0,0,spot-check only
55208,,pages/p093.png,7,0,0,1,type title from header
5590,,pages/p094.png,11,0,0,1,type title from header
99401,ILLUMINAZIONE ESTERNA ED INTERNA,pages/p098.png,24,0,0,0,spot-check only
55401,,pages/p099.png,6,0,0,1,type title from header
p100,,pages/p100.png,12,0,0,1,type title from header
90409,PROIETTORE 4273537,pages/p101.png,10,0,0,0,spot-check only
55405/1,,pages/p102.png,8,0,0,1,type title from header
55405,PROIETTORE 4285859 |,pages/p103.png,9,0,0,0,spot-check only
55405·3,PROIETTORE 4329944,pages/p107.png,7,0,0,0,spot-check only
55405/7,,pages/p108.png,8,0,0,1,type title from header
99420,FANALE ANTERIORE 4271355,pages/p109.png,8,0,0,0,spot-check only
00460/2,FANALE ANTERIORE 4292077 |,pages/p111.png,8,0,0,0,spot-check only
p112,,pages/p112.png,7,0,0,1,type title from header
55423,FANALE POSTERIORE 4271522,pages/p113.png,10,0,0,0,spot-check only
35423,,pages/p114.png,10,0,0,1,type title from header
p117,,pages/p117.png,12,0,0,1,type title from header
p118,,pages/p118.png,8,0,0,1,type title from header
68101,ATTREZZI,pages/p121.png,9,0,0,0,spot-check only
